YYYY DOY Hour    X(au)     Y(au)     Z(au)
2020  20  21 -121.1330   10.1696   84.4955
2020  20  22 -121.1334   10.1696   84.4958
2020  20  23 -121.1337   10.1696   84.4960
2020  21   0 -121.1340   10.1696   84.4963
2020  21   1 -121.1343   10.1696   84.4965
2020  21   2 -121.1347   10.1696   84.4967
2020  21   3 -121.1350   10.1696   84.4970
2020  21   4 -121.1353   10.1696   84.4972
2020  21   5 -121.1357   10.1696   84.4974
2020  21   6 -121.1360   10.1696   84.4977
2020  21   7 -121.1363   10.1696   84.4979
2020  21   8 -121.1367   10.1696   84.4982
2020  21   9 -121.1370   10.1696   84.4984
2020  21  10 -121.1373   10.1696   84.4986
2020  21  11 -121.1377   10.1696   84.4989
2020  21  12 -121.1380   10.1696   84.4991
2020  21  13 -121.1383   10.1696   84.4994
2020  21  14 -121.1386   10.1696   84.4996
2020  21  15 -121.1390   10.1696   84.4998
2020  21  16 -121.1393   10.1696   84.5001
2020  21  17 -121.1396   10.1696   84.5003
2020  21  18 -121.1400   10.1696   84.5006
2020  21  19 -121.1403   10.1696   84.5008
2020  21  20 -121.1406   10.1696   84.5010
2020  21  21 -121.1409   10.1696   84.5013
2020  21  22 -121.1413   10.1696   84.5015
2020  21  23 -121.1416   10.1696   84.5018
2020  22   0 -121.1419   10.1695   84.5020
2020  22   1 -121.1423   10.1696   84.5022
2020  22   2 -121.1426   10.1695   84.5025
2020  22   3 -121.1429   10.1695   84.5027
2020  22   4 -121.1433   10.1695   84.5030
2020  22   5 -121.1436   10.1695   84.5032
2020  22   6 -121.1439   10.1695   84.5034
2020  22   7 -121.1443   10.1696   84.5037
2020  22   8 -121.1446   10.1696   84.5039
2020  22   9 -121.1449   10.1695   84.5042
2020  22  10 -121.1453   10.1696   84.5044
2020  22  11 -121.1456   10.1695   84.5046
2020  22  12 -121.1459   10.1695   84.5049
2020  22  13 -121.1462   10.1695   84.5051
2020  22  14 -121.1466   10.1695   84.5054
2020  22  15 -121.1469   10.1695   84.5056
2020  22  16 -121.1472   10.1695   84.5058
2020  22  17 -121.1476   10.1695   84.5061
2020  22  18 -121.1479   10.1695   84.5063
2020  22  19 -121.1482   10.1695   84.5066
2020  22  20 -121.1486   10.1695   84.5068
2020  22  21 -121.1489   10.1695   84.5070
2020  22  22 -121.1492   10.1695   84.5073
2020  22  23 -121.1495   10.1695   84.5075
2020  23   0 -121.1499   10.1695   84.5078
2020  23   1 -121.1502   10.1695   84.5080
